sale_id,sale_date,product_id,product_name,category,region,sales_rep,quantity,unit_price,unit_cost,discount,revenue,profit,payment_method
S00021,2024-07-27,P004,Desk Chair,Furniture,West,Hannah,18,250,100,0.03,4365.0,2619.0,UPI
S00022,2024-12-10,P002,Mouse,Electronics,North,George,4,30,10,0.16,100.8,67.2,Credit Card
S00023,2024-10-01,P001,Laptop,Electronics,South,Bob,13,1200,800,0.18,12792.0,4264.0,Cash
S00024,2024-02-20,P003,Keyboard,Electronics,Central,Bob,14,60,20,0.05,798.0,532.0,Credit Card
S00025,2024-09-03,P009,Headphones,Electronics,West,Diana,1,150,50,0.24,114.0,76.0,UPI
S00026,2024-05-26,P007,Pen Pack,Stationery,West,,2,5,1,0.04,9.6,7.68,Cash
S00027,2024-02-01,P009,Headphones,Electronics,Central,Alice,16,150,50,0.04,2304.0,1536.0,Net Banking
S00028,2024-02-11,P001,Laptop,Electronics,Central,Charlie,2,1200,800,0.15,2040.0,680.0,UPI
S00029,2024-05-06,P002,Mouse,Electronics,Central,George,20,30,10,0.02,588.0,392.0,Credit Card
S00030,2024-12-08,P010,Webcam,Electronics,South,Fiona,3,90,30,0.1,243.0,162.0,Net Banking
S00031,2024-01-05,P004,Desk Chair,Furniture,North,Ethan,9,250,100,0.1,2025.0,1215.0,Cash
S00032,2024-06-27,P010,Webcam,Electronics,South,Diana,19,90,30,0.25,1282.5,855.0,Credit Card
S00033,2024-01-05,P004,Desk Chair,Furniture,Central,Ethan,12,250,100,0.07,2790.0,1674.0,Net Banking
S00034,2024-04-17,P002,Mouse,Electronics,Central,Charlie,5,30,10,0.07,139.5,93.0,Net Banking
S00035,2024-05-21,P004,Desk Chair,Furniture,West,Alice,9,250,100,0.13,1957.5,1174.5,Credit Card
S00036,2024-10-09,P001,Laptop,Electronics,West,Ethan,11,1200,800,0.19,10692.0,3564.0,Cash
S00037,2024-10-25,P009,Headphones,Electronics,East,Charlie,1,150,50,0.03,145.5,97.0,UPI
S00038,2024-12-15,P007,Pen Pack,Stationery,South,Alice,5,5,1,0.01,24.75,19.8,UPI
S00039,2024-05-01,P002,Mouse,Electronics,South,George,12,30,10,0.2,288.0,192.0,UPI
S00040,2024-12-08,P003,Keyboard,Electronics,West,Fiona,14,60,20,0.01,831.6,554.4,UPI
S00041,2024-04-12,P005,Monitor,Electronics,South,Alice,6,350,150,0.2,1680.0,960.0,Cash
S00042,2024-04-08,P006,Notebook,Stationery,,Diana,10,8,2,0.21,63.2,47.4,Cash
S00043,2024-07-23,P006,Notebook,Stationery,Central,Ethan,9,8,2,0.22,56.16,42.12,Net Banking
S00044,2024-11-01,P001,Laptop,Electronics,,Ethan,4,1200,800,0.22,3744.0,1248.0,Cash
S00045,2024-04-07,P006,Notebook,Stationery,Central,Bob,11,8,2,0.11,78.32,58.74,Net Banking
S00046,2024-12-06,P001,Laptop,Electronics,North,Diana,14,1200,800,0.0,16800.0,5600.0,Net Banking
S00047,2024-06-16,P010,Webcam,Electronics,West,Ethan,11,90,30,0.17,821.7,547.8,Cash
S00048,2024-11-11,P005,Monitor,Electronics,South,George,18,350,150,0.03,6111.0,3492.0,Net Banking
S00049,2024-11-06,P007,Pen Pack,Stationery,Central,Diana,18,5,1,0.21,71.1,56.88,Net Banking
S00050,2024-12-03,P008,Standing Desk,Furniture,South,Hannah,15,500,200,0.11,6675.0,4005.0,Credit Card
S00051,2024-12-10,P005,Monitor,Electronics,South,Bob,17,350,150,0.17,4938.5,2822.0,Net Banking
S00052,2024-02-07,P004,Desk Chair,Furniture,Central,,7,250,100,0.04,1680.0,1008.0,Cash
S00053,2024-12-01,P007,Pen Pack,Stationery,South,Hannah,19,5,1,0.05,90.25,72.2,Credit Card
S00054,2024-03-03,P002,Mouse,Electronics,South,Hannah,14,30,10,0.05,399.0,266.0,Cash
S00055,2024-11-09,P003,Keyboard,Electronics,West,Fiona,15,60,20,0.17,747.0,498.0,Cash
S00056,2024-11-22,P009,Headphones,Electronics,South,Hannah,15,150,50,0.22,1755.0,1170.0,Net Banking
S00057,2024-05-19,P009,Headphones,Electronics,South,Bob,16,150,50,0.16,2016.0,1344.0,Net Banking
S00058,2024-02-02,P006,Notebook,Stationery,South,George,18,8,2,0.02,141.12,105.84,Cash
S00059,2024-10-26,P007,Pen Pack,Stationery,West,Diana,11,5,1,0.14,47.3,37.84,Credit Card
S00060,2024-10-02,P010,Webcam,Electronics,West,Ethan,13,90,30,0.12,1029.6,686.4,UPI
S00061,2024-03-25,P008,Standing Desk,Furniture,West,George,8,500,200,0.07,3720.0,2232.0,Cash
S00062,2024-03-10,P003,Keyboard,Electronics,West,Alice,20,60,20,0.13,1044.0,696.0,Cash
S00063,2024-05-22,P003,Keyboard,Electronics,West,Hannah,2,60,20,0.07,111.6,74.4,Cash
S00064,2024-04-24,P005,Monitor,Electronics,East,Alice,3,350,150,0.12,924.0,528.0,Credit Card
S00065,2024-03-05,P001,Laptop,Electronics,South,Alice,1,1200,800,0.24,912.0,304.0,Cash
S00066,2024-11-06,P002,Mouse,Electronics,South,Ethan,19,30,10,0.24,433.2,288.8,Credit Card
S00067,2024-07-22,P003,Keyboard,Electronics,West,,10,60,20,0.03,582.0,388.0,UPI
S00068,2024-12-16,P002,Mouse,Electronics,East,Bob,19,30,10,0.17,473.1,315.4,Credit Card
S00069,2024-01-07,P010,Webcam,Electronics,East,Fiona,2,90,30,0.09,163.8,109.2,Cash
S00070,2024-03-31,P008,Standing Desk,Furniture,West,Hannah,4,500,200,0.11,1780.0,1068.0,Net Banking
S00071,2024-02-14,P010,Webcam,Electronics,South,Ethan,18,90,30,0.19,1312.2,874.8,Net Banking
S00072,2024-06-15,P008,Standing Desk,Furniture,West,George,8,500,200,0.19,3240.0,1944.0,UPI
S00073,2024-10-11,P008,Standing Desk,Furniture,East,Ethan,7,500,200,0.09,3185.0,1911.0,Credit Card
S00074,2024-12-19,P009,Headphones,Electronics,South,Hannah,7,150,50,0.02,1029.0,686.0,Cash
S00075,2024-06-05,P008,Standing Desk,Furniture,South,Diana,15,500,200,0.2,6000.0,3600.0,Net Banking
S00076,2024-05-18,P008,Standing Desk,Furniture,West,Fiona,18,500,200,0.13,7830.0,4698.0,Net Banking
S00077,2024-04-08,P005,Monitor,Electronics,South,Bob,8,350,150,0.03,2716.0,1552.0,UPI
S00078,2024-05-31,P008,Standing Desk,Furniture,South,Ethan,9,500,200,0.18,3690.0,2214.0,UPI
S00079,2024-10-10,P006,Notebook,Stationery,North,Charlie,6,8,2,0.08,44.16,33.12,Net Banking
S00080,2024-08-13,P003,Keyboard,Electronics,West,,16,60,20,0.03,931.2,620.8,Net Banking
S00081,2024-09-08,P003,Keyboard,Electronics,West,Bob,2,60,20,0.06,112.8,75.2,Credit Card
S00082,2024-03-01,P010,Webcam,Electronics,South,Ethan,2,90,30,0.04,172.8,115.2,Cash
S00083,2024-06-01,P010,Webcam,Electronics,West,George,20,90,30,0.2,1440.0,960.0,Cash
S00084,2024-11-16,P005,Monitor,Electronics,South,Bob,19,350,150,0.16,5586.0,3192.0,UPI
S00085,2024-08-18,P005,Monitor,Electronics,West,Bob,3,350,150,0.04,1008.0,576.0,Cash
S00086,2024-05-15,P005,Monitor,Electronics,South,Hannah,2,350,150,0.06,658.0,376.0,UPI
S00087,2024-01-31,P007,Pen Pack,Stationery,North,Ethan,4,5,1,0.14,17.2,13.76,UPI
S00088,2024-12-18,P005,Monitor,Electronics,West,Ethan,20,350,150,0.19,5670.0,3240.0,Net Banking
S00089,2024-06-14,P007,Pen Pack,Stationery,West,Bob,9,5,1,0.13,39.15,31.32,Net Banking
S00090,2024-10-22,P001,Laptop,Electronics,East,Alice,3,1200,800,0.06,3384.0,1128.0,Credit Card
S00091,2024-08-11,P003,Keyboard,Electronics,Central,Ethan,16,60,20,0.13,835.2,556.8,Cash
S00092,2024-07-29,P002,Mouse,Electronics,East,Bob,16,30,10,0.09,436.8,291.2,Cash
S00093,2024-06-14,P005,Monitor,Electronics,East,Hannah,13,350,150,0.2,3640.0,2080.0,Credit Card
S00094,2024-07-30,P007,Pen Pack,Stationery,West,,17,5,1,0.21,67.15,53.72,Credit Card
S00095,2024-05-16,P004,Desk Chair,Furniture,South,Hannah,17,250,100,0.09,3867.5,2320.5,UPI
S00096,2024-05-02,P005,Monitor,Electronics,Central,Alice,15,350,150,0.22,4095.0,2340.0,UPI
S00097,2024-08-24,P005,Monitor,Electronics,North,Diana,18,350,150,0.0,6300.0,3600.0,Credit Card
S00098,2024-08-29,P003,Keyboard,Electronics,West,Ethan,16,60,20,0.23,739.2,492.8,UPI
S00099,2024-07-31,P008,Standing Desk,Furniture,East,Charlie,18,500,200,0.04,8640.0,5184.0,Net Banking
S00100,2024-12-03,P009,Headphones,Electronics,Central,Ethan,9,150,50,0.21,1066.5,711.0,Cash
S00101,2024-04-06,P003,Keyboard,Electronics,East,George,15,60,20,0.13,783.0,522.0,UPI
S00102,2024-12-27,P010,Webcam,Electronics,West,Alice,13,90,30,0.06,1099.8,733.2,Cash
S00103,2024-06-18,P007,Pen Pack,Stationery,Central,,5,5,1,0.12,22.0,17.6,Credit Card
S00104,2024-02-08,P008,Standing Desk,Furniture,South,Charlie,4,500,200,0.13,1740.0,1044.0,Cash
S00105,2024-07-13,P005,Monitor,Electronics,Central,Bob,11,350,150,0.16,3234.0,1848.0,Net Banking
S00106,2024-08-10,P008,Standing Desk,Furniture,North,Ethan,18,500,200,0.01,8910.0,5346.0,Credit Card
S00107,2024-01-29,P002,Mouse,Electronics,,Alice,15,30,10,0.04,432.0,288.0,Net Banking
S00108,2024-03-28,P006,Notebook,Stationery,South,George,12,8,2,0.11,85.44,64.08,UPI
S00109,2024-03-14,P002,Mouse,Electronics,Central,Diana,20,30,10,0.22,468.0,312.0,UPI
S00110,2024-03-21,P008,Standing Desk,Furniture,Central,Hannah,9,500,200,0.11,4005.0,2403.0,Credit Card
S00111,2024-06-03,P008,Standing Desk,Furniture,West,George,12,500,200,0.25,4500.0,2700.0,UPI
S00112,2024-01-12,P007,Pen Pack,Stationery,East,Fiona,16,5,1,0.03,77.6,62.08,Cash
S00113,2024-05-26,P005,Monitor,Electronics,West,Alice,1,350,150,0.14,301.0,172.0,UPI
S00114,2024-11-17,P010,Webcam,Electronics,South,Ethan,12,90,30,0.05,1026.0,684.0,Credit Card
S00115,2024-02-16,P001,Laptop,Electronics,South,,10,1200,800,0.2,9600.0,3200.0,Net Banking
S00116,2024-03-25,P006,Notebook,Stationery,East,Fiona,14,8,2,0.04,107.52,80.64,Net Banking
S00117,2024-03-13,P008,Standing Desk,Furniture,North,Bob,10,500,200,0.19,4050.0,2430.0,UPI
S00118,2024-08-20,P007,Pen Pack,Stationery,North,Alice,18,5,1,0.09,81.9,65.52,Net Banking
S00119,2024-08-29,P005,Monitor,Electronics,South,Fiona,19,350,150,0.1,5985.0,3420.0,Credit Card
S00120,2024-12-24,P010,Webcam,Electronics,West,Bob,18,90,30,0.08,1490.4,993.6,Net Banking
S00121,2024-02-19,P007,Pen Pack,Stationery,North,Ethan,4,5,1,0.03,19.4,15.52,UPI
S00122,2024-07-31,P009,Headphones,Electronics,South,George,5,150,50,0.1,675.0,450.0,Credit Card
S00123,2024-08-15,P008,Standing Desk,Furniture,South,Alice,20,500,200,0.1,9000.0,5400.0,Cash
S00124,2024-04-07,P004,Desk Chair,Furniture,East,Fiona,12,250,100,0.02,2940.0,1764.0,Credit Card
S00125,2024-05-04,P008,Standing Desk,Furniture,East,Alice,3,500,200,0.17,1245.0,747.0,UPI
S00126,2024-06-17,P010,Webcam,Electronics,South,Diana,7,90,30,0.02,617.4,411.6,UPI
S00127,2024-02-26,P010,Webcam,Electronics,South,Charlie,1,90,30,0.07,83.7,55.8,Credit Card
S00128,2024-05-15,P003,Keyboard,Electronics,,Fiona,1,60,20,0.09,54.6,36.4,Credit Card
S00129,2024-09-19,P003,Keyboard,Electronics,East,Hannah,14,60,20,0.13,730.8,487.2,Credit Card
S00130,2024-02-01,P008,Standing Desk,Furniture,North,Ethan,17,500,200,0.06,7990.0,4794.0,Cash
S00131,2024-06-13,P007,Pen Pack,Stationery,North,Hannah,14,5,1,0.17,58.1,46.48,UPI
S00132,2024-09-28,P002,Mouse,Electronics,Central,Fiona,5,30,10,0.07,139.5,93.0,Net Banking
S00133,2024-04-20,P008,Standing Desk,Furniture,Central,Bob,17,500,200,0.15,7225.0,4335.0,Cash
S00134,2024-06-09,P008,Standing Desk,Furniture,North,George,8,500,200,0.1,3600.0,2160.0,Cash
S00135,2024-02-17,P006,Notebook,Stationery,North,Hannah,9,8,2,0.09,65.52,49.14,Cash
S00136,2024-06-30,P002,Mouse,Electronics,West,Fiona,12,30,10,0.2,288.0,192.0,Cash
S00137,2024-04-24,P001,Laptop,Electronics,West,Diana,10,1200,800,0.15,10200.0,3400.0,Credit Card
S00138,2024-11-14,P006,Notebook,Stationery,Central,Diana,18,8,2,0.09,131.04,98.28,Credit Card
S00139,2024-01-04,P010,Webcam,Electronics,East,Ethan,9,90,30,0.01,801.9,534.6,UPI
S00140,2024-04-20,P003,Keyboard,Electronics,Central,Alice,19,60,20,0.16,957.6,638.4,Cash
S00141,2024-11-01,P007,Pen Pack,Stationery,Central,Fiona,15,5,1,0.09,68.25,54.6,Credit Card
S00142,2024-09-05,P001,Laptop,Electronics,West,Bob,5,1200,800,0.04,5760.0,1920.0,Cash
S00143,2024-12-13,P007,Pen Pack,Stationery,East,Fiona,9,5,1,0.05,42.75,34.2,Cash
S00144,2024-06-03,P009,Headphones,Electronics,,Alice,10,150,50,0.01,1485.0,990.0,UPI
S00145,2024-03-07,P003,Keyboard,Electronics,South,Hannah,9,60,20,0.07,502.2,334.8,Cash
S00146,2024-08-11,P009,Headphones,Electronics,North,Fiona,8,150,50,0.13,1044.0,696.0,Credit Card
S00147,2024-05-28,P008,Standing Desk,Furniture,West,George,3,500,200,0.22,1170.0,702.0,Credit Card
S00148,2024-02-15,P007,Pen Pack,Stationery,East,Hannah,1,5,1,0.24,3.8,3.04,Cash
S00149,2024-06-22,P002,Mouse,Electronics,East,Bob,8,30,10,0.11,213.6,142.4,UPI
S00150,2024-06-28,P006,Notebook,Stationery,East,Diana,6,8,2,0.02,47.04,35.28,UPI
S00151,2024-03-31,P004,Desk Chair,Furniture,North,Charlie,4,250,100,0.04,960.0,576.0,Cash
S00152,2024-03-18,P008,Standing Desk,Furniture,East,Fiona,19,500,200,0.19,7695.0,4617.0,Cash
S00153,2024-09-16,P002,Mouse,Electronics,East,Ethan,16,30,10,0.11,427.2,284.8,Credit Card
S00154,2024-11-10,P005,Monitor,Electronics,North,Ethan,15,350,150,0.11,4672.5,2670.0,Cash
S00155,2024-11-29,P008,Standing Desk,Furniture,Central,Alice,19,500,200,0.14,8170.0,4902.0,UPI
S00156,2024-12-31,P006,Notebook,Stationery,East,Alice,20,8,2,0.12,140.8,105.6,Credit Card
S00157,2024-03-22,P009,Headphones,Electronics,Central,Hannah,6,150,50,0.01,891.0,594.0,Net Banking
S00158,2024-02-03,P006,Notebook,Stationery,East,Alice,10,8,2,0.1,72.0,54.0,Net Banking
S00159,2024-12-05,P002,Mouse,Electronics,Central,Charlie,18,30,10,0.17,448.2,298.8,UPI
S00160,2024-06-07,P006,Notebook,Stationery,North,George,10,8,2,0.24,60.8,45.6,Cash
S00161,2024-09-17,P006,Notebook,Stationery,West,Bob,5,8,2,0.17,33.2,24.9,Net Banking
S00162,2024-04-08,P001,Laptop,Electronics,West,Fiona,12,1200,800,0.08,13248.0,4416.0,UPI
S00163,2024-09-26,P003,Keyboard,Electronics,Central,Bob,5,60,20,0.02,294.0,196.0,Credit Card
S00164,2024-03-25,P006,Notebook,Stationery,Central,Charlie,20,8,2,0.03,155.2,116.4,Cash
S00165,2024-04-29,P001,Laptop,Electronics,West,Hannah,14,1200,800,0.09,15288.0,5096.0,UPI
S00166,2024-07-14,P005,Monitor,Electronics,East,Hannah,16,350,150,0.23,4312.0,2464.0,Cash
S00167,2024-07-09,P003,Keyboard,Electronics,West,Ethan,7,60,20,0.2,336.0,224.0,Credit Card
S00168,2024-03-16,P009,Headphones,Electronics,Central,Ethan,4,150,50,0.07,558.0,372.0,Cash
S00169,2024-09-14,P002,Mouse,Electronics,West,Alice,8,30,10,0.2,192.0,128.0,Net Banking
S00170,2024-12-31,P004,Desk Chair,Furniture,North,Alice,13,250,100,0.25,2437.5,1462.5,Net Banking
S00171,2024-12-27,P003,Keyboard,Electronics,South,Hannah,5,60,20,0.01,297.0,198.0,Cash
S00172,2024-10-07,P008,Standing Desk,Furniture,South,Ethan,20,500,200,0.0,10000.0,6000.0,Cash
S00173,2024-08-22,P002,Mouse,Electronics,Central,Diana,10,30,10,0.06,282.0,188.0,Credit Card
S00174,2024-03-14,P002,Mouse,Electronics,South,,16,30,10,0.15,408.0,272.0,Net Banking
S00175,2024-09-25,P007,Pen Pack,Stationery,North,George,1,5,1,0.15,4.25,3.4,Net Banking
S00176,2024-01-23,P002,Mouse,Electronics,West,Alice,17,30,10,0.14,438.6,292.4,Cash
S00177,2024-10-24,P006,Notebook,Stationery,North,Bob,9,8,2,0.19,58.32,43.74,Net Banking
S00178,2024-12-22,P003,Keyboard,Electronics,West,Charlie,2,60,20,0.09,109.2,72.8,Cash
S00179,2024-04-13,P003,Keyboard,Electronics,,Hannah,5,60,20,0.02,294.0,196.0,Credit Card
S00180,2024-08-30,P004,Desk Chair,Furniture,Central,George,2,250,100,0.08,460.0,276.0,Net Banking
S00181,2024-05-19,P001,Laptop,Electronics,East,Alice,7,1200,800,0.07,7812.0,2604.0,Credit Card
S00182,2024-09-11,P006,Notebook,Stationery,South,George,14,8,2,0.22,87.36,65.52,Cash
S00183,2024-04-02,P006,Notebook,Stationery,Central,George,17,8,2,0.07,126.48,94.86,Net Banking
S00184,2024-03-26,P006,Notebook,Stationery,West,Ethan,4,8,2,0.02,31.36,23.52,Cash
S00185,2024-05-20,P006,Notebook,Stationery,West,Fiona,15,8,2,0.01,118.8,89.1,Credit Card
S00186,2024-11-07,P002,Mouse,Electronics,South,Charlie,13,30,10,0.09,354.9,236.6,Cash
S00187,2024-01-17,P001,Laptop,Electronics,Central,Fiona,5,1200,800,0.02,5880.0,1960.0,UPI
S00188,2024-06-09,P008,Standing Desk,Furniture,West,Charlie,12,500,200,0.09,5460.0,3276.0,Net Banking
S00189,2024-05-14,P004,Desk Chair,Furniture,North,George,4,250,100,0.01,990.0,594.0,Net Banking
S00190,2024-02-07,P008,Standing Desk,Furniture,South,Hannah,7,500,200,0.25,2625.0,1575.0,Cash
S00191,2024-10-08,P003,Keyboard,Electronics,North,Fiona,15,60,20,0.25,675.0,450.0,Net Banking
S00192,2024-04-24,P005,Monitor,Electronics,Central,Charlie,6,350,150,0.18,1722.0,984.0,Credit Card
S00193,2024-08-27,P004,Desk Chair,Furniture,East,Fiona,5,250,100,0.06,1175.0,705.0,UPI
S00194,2024-10-21,P010,Webcam,Electronics,West,Hannah,3,90,30,0.02,264.6,176.4,Credit Card
S00195,2024-11-23,P003,Keyboard,Electronics,Central,Fiona,11,60,20,0.16,554.4,369.6,UPI
S00196,2024-03-25,P003,Keyboard,Electronics,East,Bob,14,60,20,0.13,730.8,487.2,UPI
S00197,2024-04-10,P006,Notebook,Stationery,East,Ethan,8,8,2,0.09,58.24,43.68,Net Banking
S00198,2024-03-19,P003,Keyboard,Electronics,Central,Charlie,10,60,20,0.15,510.0,340.0,UPI
S00199,2024-02-11,P010,Webcam,Electronics,North,Alice,20,90,30,0.08,1656.0,1104.0,Credit Card
S00200,2024-09-11,P010,Webcam,Electronics,North,George,9,90,30,0.16,680.4,453.6,Net Banking
S00201,2024-12-18,P005,Monitor,Electronics,North,George,16,350,150,0.06,5264.0,3008.0,Credit Card
S00202,2024-06-12,P003,Keyboard,Electronics,East,Fiona,15,60,20,0.1,810.0,540.0,Net Banking
S00203,2024-03-03,P007,Pen Pack,Stationery,West,Bob,5,5,1,0.19,20.25,16.2,Net Banking
S00204,2024-05-07,P008,Standing Desk,Furniture,West,George,8,500,200,0.04,3840.0,2304.0,UPI
S00205,2024-08-27,P006,Notebook,Stationery,Central,Charlie,19,8,2,0.18,124.64,93.48,Cash
S00206,2024-10-25,P005,Monitor,Electronics,South,Hannah,16,350,150,0.01,5544.0,3168.0,Net Banking
S00207,2024-02-25,P001,Laptop,Electronics,North,Hannah,2,1200,800,0.07,2232.0,744.0,Cash
S00208,2024-01-27,P003,Keyboard,Electronics,,Fiona,9,60,20,0.18,442.8,295.2,UPI
S00209,2024-11-15,P006,Notebook,Stationery,East,Hannah,18,8,2,0.07,133.92,100.44,Credit Card
S00210,2024-03-14,P003,Keyboard,Electronics,East,Fiona,4,60,20,0.1,216.0,144.0,UPI
S00211,2024-12-31,P010,Webcam,Electronics,,,17,90,30,0.1,1377.0,918.0,Net Banking
S00212,2024-06-12,P008,Standing Desk,Furniture,Central,Charlie,17,500,200,0.11,7565.0,4539.0,UPI
S00213,2024-09-29,P007,Pen Pack,Stationery,Central,Fiona,20,5,1,0.18,82.0,65.6,Cash
S00214,2024-08-01,P010,Webcam,Electronics,North,,10,90,30,0.12,792.0,528.0,Net Banking
S00215,2024-09-02,P001,Laptop,Electronics,Central,Diana,20,1200,800,0.12,21120.0,7040.0,UPI
S00216,2024-12-24,P009,Headphones,Electronics,,Diana,20,150,50,0.19,2430.0,1620.0,Credit Card
S00217,2024-09-13,P004,Desk Chair,Furniture,West,George,1,250,100,0.11,222.5,133.5,Cash
S00218,2024-03-29,P001,Laptop,Electronics,East,Hannah,5,1200,800,0.13,5220.0,1740.0,Cash
S00219,2024-05-06,P009,Headphones,Electronics,South,Ethan,11,150,50,0.14,1419.0,946.0,Net Banking
S00220,2024-12-19,P009,Headphones,Electronics,South,Ethan,10,150,50,0.06,1410.0,940.0,Cash
S00221,2024-12-12,P006,Notebook,Stationery,Central,Ethan,16,8,2,0.09,116.48,87.36,Cash
S00222,2024-12-31,P007,Pen Pack,Stationery,,Ethan,12,5,1,0.24,45.6,36.48,Credit Card
S00223,2024-05-18,P006,Notebook,Stationery,Central,Diana,15,8,2,0.16,100.8,75.6,Net Banking
S00224,2024-04-25,P003,Keyboard,Electronics,Central,Diana,4,60,20,0.15,204.0,136.0,UPI
S00225,2024-01-03,P001,Laptop,Electronics,South,Bob,4,1200,800,0.1,4320.0,1440.0,UPI
S00226,2024-02-15,P007,Pen Pack,Stationery,North,Ethan,16,5,1,0.12,70.4,56.32,UPI
S00227,2024-07-22,P009,Headphones,Electronics,North,Charlie,2,150,50,0.23,231.0,154.0,Cash
S00228,2024-06-20,P003,Keyboard,Electronics,North,,10,60,20,0.22,468.0,312.0,Net Banking
S00229,2024-05-19,P008,Standing Desk,Furniture,West,Charlie,18,500,200,0.13,7830.0,4698.0,UPI
S00230,2024-06-21,P002,Mouse,Electronics,North,Ethan,11,30,10,0.04,316.8,211.2,Net Banking
S00231,2024-06-16,P010,Webcam,Electronics,Central,George,7,90,30,0.04,604.8,403.2,Credit Card
S00232,2024-05-13,P007,Pen Pack,Stationery,North,Fiona,4,5,1,0.05,19.0,15.2,Cash
S00233,2024-01-06,P004,Desk Chair,Furniture,Central,Ethan,15,250,100,0.19,3037.5,1822.5,Net Banking
S00234,2024-12-26,P006,Notebook,Stationery,Central,Ethan,8,8,2,0.02,62.72,47.04,Net Banking
S00235,2024-11-06,P002,Mouse,Electronics,West,Charlie,10,30,10,0.09,273.0,182.0,Net Banking
S00236,2024-02-11,P007,Pen Pack,Stationery,Central,Diana,18,5,1,0.23,69.3,55.44,Cash
S00237,2024-04-13,P009,Headphones,Electronics,Central,Alice,12,150,50,0.02,1764.0,1176.0,UPI
S00238,2024-02-16,P003,Keyboard,Electronics,West,Diana,11,60,20,0.21,521.4,347.6,Cash
S00239,2024-01-12,P001,Laptop,Electronics,East,Alice,15,1200,800,0.03,17460.0,5820.0,Cash
S00240,2024-10-04,P005,Monitor,Electronics,North,Alice,1,350,150,0.19,283.5,162.0,Credit Card
S00241,2024-07-10,P002,Mouse,Electronics,West,Charlie,16,30,10,0.01,475.2,316.8,Cash
S00242,2024-03-01,P008,Standing Desk,Furniture,East,Charlie,13,500,200,0.09,5915.0,3549.0,UPI
S00243,2024-06-01,P009,Headphones,Electronics,North,Diana,13,150,50,0.13,1696.5,1131.0,Cash
S00244,2024-05-21,P009,Headphones,Electronics,South,Diana,14,150,50,0.13,1827.0,1218.0,UPI
S00245,2024-02-21,P002,Mouse,Electronics,North,Alice,2,30,10,0.2,48.0,32.0,Credit Card
S00246,2024-08-12,P008,Standing Desk,Furniture,West,Diana,20,500,200,0.17,8300.0,4980.0,UPI
S00247,2024-04-29,P009,Headphones,Electronics,East,Charlie,7,150,50,0.19,850.5,567.0,Net Banking
S00248,2024-12-04,P010,Webcam,Electronics,South,Diana,20,90,30,0.19,1458.0,972.0,UPI
S00249,2024-10-11,P007,Pen Pack,Stationery,West,Charlie,10,5,1,0.07,46.5,37.2,Cash
S00250,2024-03-17,P001,Laptop,Electronics,West,Fiona,12,1200,800,0.24,10944.0,3648.0,Net Banking
S00251,2024-08-25,P007,Pen Pack,Stationery,South,Diana,6,5,1,0.19,24.3,19.44,Credit Card
S00252,2024-04-14,P009,Headphones,Electronics,East,Charlie,14,150,50,0.24,1596.0,1064.0,Net Banking
S00253,2024-12-10,P002,Mouse,Electronics,West,Diana,15,30,10,0.21,355.5,237.0,Credit Card
